City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bhamo,24.2667,97.2333,23.91,30,0,0.84,MM,1681843473
83,bardai,11.65,7.2333,32.81,26,87,2.88,NG,1681843473
84,leer,53.2316,7.461,10.99,78,34,5.73,DE,1681843474
85,lowestoft,52.4752,1.7516,9.72,63,100,8.4,GB,1681843474
86,hawaiian paradise park,19.5933,-154.9731,24.39,90,40,0.0,US,1681843474
87,uturoa,-16.7333,-151.4333,28.19,76,100,7.78,PF,1681843474
88,phalodi,27.1333,72.3667,30.45,32,100,3.85,IN,1681843474
89,bethel,41.3712,-73.414,12.88,49,100,6.17,US,1681843229
90,san lawrenz,36.0553,14.204,15.48,78,0,0.89,MT,1681843475
91,olonkinbyen,70.9221,-8.7187,0.39,96,95,6.53,SJ,1681843475
92,morinville,53.8001,-113.652,12.14,27,4,2.27,CA,1681843475
93,tauste,41.918,-1.2534,19.92,38,7,2.07,ES,1681843475
94,pitanga,-24.7572,-51.7614,17.54,97,98,1.7,BR,1681843476
95,tazacorte,28.629,-17.9293,20.64,82,20,7.72,ES,1681843476
96,ulladulla,-35.35,150.4667,10.43,84,97,2.74,AU,1681843476
97,lebu,-37.6167,-73.65,13.73,78,100,2.46,CL,1681843476
98,myitkyina,25.3833,97.4,23.59,35,0,1.43,MM,1681843477
99,port lincoln,-34.7333,135.8667,14.53,65,65,6.32,AU,1681843477
100,acarau,-2.8856,-40.12,27.92,79,55,3.99,BR,1681843246
101,linhares,-19.3911,-40.0722,33.39,47,5,2.43,BR,1681843236
102,ulcinj,41.9294,19.2244,16.12,80,100,0.94,ME,1681843478
103,guatrache,-37.6678,-63.5302,18.43,29,100,8.49,AR,1681843478
104,carnarvon,-24.8667,113.6333,23.15,36,6,6.64,AU,1681843478
105,port mathurin,-19.6833,63.4167,26.39,75,9,9.26,MU,1681843478
106,leua,48.2156,18.6071,13.61,68,100,0.39,SK,1681843478
107,brookings,44.3114,-96.7984,14.19,39,0,8.75,US,1681843247
108,saacow,1.6279,42.4407,26.98,78,91,3.88,SO,1681843478
109,tofol,5.3248,163.0078,27.99,73,100,6.67,FM,1681843479
110,sabanitas,9.3422,-79.8011,35.36,58,13,4.59,PA,1681843479
111,dinanagar,32.15,75.4667,25.04,44,100,2.73,IN,1681843479
112,tyukhtet,56.5389,89.3011,-11.68,92,100,3.82,RU,1681843441
113,east london,-33.0153,27.9116,16.52,100,0,0.51,ZA,1681843479
114,fort st. john,56.2499,-120.8529,7.94,31,40,6.17,CA,1681843479
115,cold lake,54.4502,-110.2017,7.97,61,40,4.63,CA,1681843480
116,ilulissat,69.2167,-51.1,-1.99,74,100,4.63,GL,1681843480
117,avarua,-21.2078,-159.775,26.03,73,100,6.69,CK,1681843480
118,gargalianoi,37.0667,21.6333,12.34,79,1,3.57,GR,1681843481
119,kargil,34.5667,76.1,1.36,90,100,2.25,IN,1681843481
120,nouadhibou,20.931,-17.0347,21.99,73,2,7.72,MR,1681843481
121,colonia,50.9333,6.95,14.36,59,0,5.14,DE,1681843481
122,itacare,-14.2775,-38.9967,28.34,74,92,4.71,BR,1681843481
123,al jafr,25.3769,49.7236,27.31,35,100,2.66,SA,1681843481
124,chulakkurgan,43.765,69.1814,5.39,41,0,2.9,KZ,1681843481
125,zhumadian,32.9794,114.0294,17.47,91,42,2.67,CN,1681843482
126,bredasdorp,-34.5322,20.0403,15.36,87,12,1.74,ZA,1681843482
127,coos bay,43.3665,-124.2179,10.17,79,75,4.63,US,1681843252
128,puerto ayora,-0.7393,-90.3518,29.98,89,71,1.79,EC,1681843482
129,longyearbyen,78.2186,15.6401,0.91,86,75,3.09,SJ,1681843482
130,hammerfest,70.6634,23.6821,4.25,81,75,4.12,NO,1681843386
131,rockton,42.4525,-89.0723,11.41,49,0,6.17,US,1681843482
132,anadyr,64.75,177.4833,-1.72,80,75,6.0,RU,1681843483
133,coquimbo,-29.9533,-71.3436,17.85,67,0,6.17,CL,1681843277
134,bathsheba,13.2167,-59.5167,29.34,65,40,6.69,BB,1681843483
135,lata,40.1629,-8.3327,21.56,46,63,1.22,PT,1681843483
136,marsh harbour,26.5412,-77.0636,23.81,76,94,8.37,BS,1681843483
